name
베냐민 헨릭스
카스퍼 돌베르
빅토르 코발렌코
크리스티안 리베라
다요 우파메카노
가스톤 페레이로
레온 바일리
제르송
톰 데이비스
오야르사발
아마두 디아와라
장-빅토르 마켕고
밀레 스빌라르
파비안 벤코
켈빈 아미안
엠레 모르
T. 알렉산더-아놀드
조너선 레코
브라힘
온티베로스
R. 피에르-가브리엘
알반 라퐁
압뒬카디르 외뮈르
얀 카라모
팔렌티노 뮐러
마르코 그루이치
저스틴 바일로
티모시 포수-멘사
C. 은쿤쿠
도안 리쓰
테오 에르난데스
알레냐
클라우드 아자퐁
라마단 소비
알렉산데르 이사크
에반데르
제드송 페르난데스
디오구 달로
조나탕 이코네
옌스 오고르
요시프 브레칼로
우셈 아우아르
후벵 비나그르
아슈라프 하키미
마테이스 더리흐트
샘 슈레크
유세프 엔네시리
말랑 사르
카이 하베르츠
페데리코 키에사
요엘 아소로
폴 리롤라
라이언 세세뇽
알렉스 포소
벤 우드번
아론
에반 은디카
모이스 킨
아이멘 바르코크
J. 클라위베르트
부바카르 카마라
라자로스 람프루
무사 와구에
후안 포이트
티보 베를린던
무사 제네포
아르네 마이어
필 포든
파트리크 쿠트로네
아마두 아이다라
웨스턴 매케니
비니시우스
피에트로 펠레그리
페데리코 발베르데
레오 자바
미하일 리소프
에데르 밀리탕
루카 지단
퇸 코프메이너르스
니콜라스 곤살레스
마르셀로 사라키
티머시 웨아
마우루 주니오르
토니 모야
무사 디아비
무사 바로
조바느 카브랄
다니 올모
쥘 케이타
폴 디코프
졸리언 레스콧
에릭 브룩
마이크 서머비
닐 영
마이크 도일
베르트 트라우트만
존 오셰이
클라우디오 피사로
다니엘레 보네라
E. 아데바요르
고란 판데프
대런 플레처
라그나르 클라반
마리아노 바르보사
호세 소사
아르다 투란
헤수스 나바스
디에고 로페스
조 하트
라이언 바벨
요렌테
안드레아 라지
바카리 사냐
아드리아누
조니 에번스
대런 깁슨
누리 샤힌
마리오 수아레스
아드리안 로페스
뎀바 바
스벤 벤더
나빌 디라르
그라네로
알리 시소코
페르난두 
키어런 깁스
스벤 울라이히
파비우
율리안 시버
토마스 링콘
에스쿠데로
로베르토 페레이라
막심 고날롱
몬토야
대니 잉스
제바스티안 로데
크리스티안 테요
주앙 제주스
지브릴 시디베
스테파노 스투라로
후안 베르나트
토머스 파티
마리오 르미나
제메르송
앤드루 로버트슨
로렌초 펠레그리니
파트리크 시크
젠기즈 윈데르
M. 안토누치
부라크 일마즈
호르헤 몰리나
엑토르 에레라
주제 폰테
다니엘 슈바브
막스 크루제
앙코 얀선
주니오
데일리 블린트
앙디 들로르
홍철
라르스 운네스탈
F. 아체르비
아담 마헤르
스테번 베르하위스
니코 슐츠
케빈 폴란트
A. 엘카야티
맷 도허티
대니 다코스타
케니 랄라
테지 사바니에
라이언 프레이저
캉탱 뵈나르도
케빈 음바부
M. 할슈텐베르크
N. 탈리아피코
가야
케렘 데미르바이
O. 블라호디모스
조현우
R. 데폴
토제
치아구 멘지스
왈테르 베니테스
호아킨 코레아
두반 사파타
마이크 메냥
아르만도 이초
다코남 제네
앙헬리뇨
제임스 매디슨
도니 반더베이크
우레이
마르틴 외데고르
조니
K. 피옹테크
보르하 이글레시아스 
조나탕 밤바
세징야
스테번 베르흐바인
니콜라 페페
M. 에게슈타인
앙드레 오나나
페를랑 멘디
프렝키 더용
미헬 플랍
잔루카 만치니
마리오 에르모소
달마우
로드리
제이든 산초
덴젤 둠프리스
데클런 라이스
예르디 스하우턴
마누엘 라차리
호드리구
니콜로 차니올로
유세프 아탈
주앙 펠릭스
시키뉴
미하엘 렌징
웨스 모건
F. 마냐넬리
É. 바레토
이우통
마티외 드뷔시
로이크 페랑
알렉시 로마오
사미르 한다노비치
벤 포스터
안드레아 콘실리
올리버 핑크
안드레아 마시엘로
웨인 헤네시
에세키엘 가라이
제르비뉴
나우두
글렌 머리
A. 마리아파
제바스티안 프뢰들
라우번 헤닝스
셰이머스 콜먼
크레이그 캐스카트
마푸 양가-음비와
트로이 디니
조엘 워드
맷 리치
마르코 사우
빅토르 산체스
과이타
유라이 쿠츠카
로맹 아무마
데이비 프뢰퍼르
라과르디아
하비 로페스
조나스 마르탕
이바이 고메스
마르코 반힝켈
로이크 랑드르
코너 코디
디에고 데메
시모네 차차
자말 러셀스
유니스 압델하미드
칸 아이한
유수프 포울센
제라르 모레노
압둘라예 두쿠레
안드레아 벨로티
제이미 바디
파체코
아요세 페레스
뤼도비크 아조르크
앙토니 브리앙송
바우트 베고르스트
레미 우당
에두아르 멘디
디미트리 리에나르
기예르모 오초아
마이클 브래들리
제페르손 파르판
장 보세주르
톰 히턴
조나탄 오로스코
존 오비 미켈
D. 에티엔 주니어
케너트 베르메이르
조나탄 도스산토스
알렉상드르 우키자
앙리 세베
페이비언 델프
미하엘 랑
루이스 몬테스
소피안 페굴리
패트릭 반안홀트
셰후 쿠야테
라피크 할리시
우고 곤살레스
카를로스 삼브라노
마우리시오 이슬라
마티아스 수아레스
메흐디 아베이드
알프레드 은디아예
라민 가사마
스티븐 추버
오마 곤잘레스
에르베 바질
숀 존슨
디에고 레예스
네스토르 아라우호
루이스 로드리게스
로리스 베니토
헤르만 페셀라
곤살로 하라
J. 푸엔살리다
호세프미르 바욘
알도 코르소
칼럼 윌슨
팀 림
살리우 시스
라이스 음볼리
R. 푸네스 모리
파블로 에르난데스
마르코 비조트
마이클 헥터
아구스틴 마르체신
아이사 만디
아메드 무사
레모 프로일러
라울 루이디아스
루이스 아드빙쿨라
요시마르 요툰
마리우 후이
이봉 음보고
E. 바르가스
레안드로 파레데스
기도 피사로
마르턴 더론
퀸시 프로머스
하파엘 게헤이루
레나토 슈테펜
로돌포 피사로
에디손 플로레스
알렉산데르 카옌스
타일러 보이드
P. 오누아추
윌 트랍
주제 사
자시 자데스
워커 지머만
W. 트로스트-에콩
디에고 발데스
에릭 풀가르
에스테반 파베스
파울로 디아스
프랑코 아르마니
앙헬로 사갈
오스카르 오파소
